I	M	N	T
11.4	3.5	4.8	12.1
11.4	5.6	4.8	12.1
11.4	7.2	4.9	12.1
11.4	9.9	4.9	12.1
11.7	11.7	4.9	12.1
11.8	11.8	4.9	12.1
11.9	11.8	4.9	12.1
11.9	11.8	4.9	12.1
11.9	11.8	4.9	12.1
11.9	11.8	4.9	12.1
11.9	11.8	4.9	12.1
11.9	11.8	4.9	12.1
11.9	11.8	4.9	12.1
11.9	11.8	4.9	12.1
11.9	11.9	4.9	12.1
11.9	11.9	4.9	12.1
11.9	11.9	4.9	12.1
11.9	11.9	4.9	12.1
11.9	11.9	4.9	12.1
11.9	11.9	4.9	12.1
11.9	11.9	4.9	12.1
11.9	11.9	4.9	12.1
11.9	11.9	5.1	12.1
11.9	11.9	5.2	12.1
11.9	11.9	5.2	12.1
12.1	11.9	5.2	12.1
11.7	11.9	5.2	12.1
11.9	11.9	5.3	12.1
11.9	11.9	5.3	12.1
11.9	11.9	5.3	12.1
11.9	11.9	5.3	12.1
11.9	11.9	5.3	12.1
12	11.6	5.3	12.2
12	11.5	5.3	12.2
12	11.6	5.3	12.2
12	11.6	5.3	12.2
12	11.6	5.3	12.2
12	11.7	5.3	12.2
12	12	5.3	12.2
12	12	5.3	12.2
12	12	5.4	12.2
12	12	5.4	12.2
12	11.7	5.4	12.2
12	11.7	5.4	12.2
12	11.7	5.4	12.2
12	11.7	5.4	12.2
12	11.7	5.4	12.2
12	11.7	5.4	12.2
12	11.7	5.4	12.2
12.1	11.7	5.4	12.2
12.1	11.7	5.4	12.2
12.1	11.7	5.4	12.2
12.1	11.7	5.4	12.2
12.1	11.7	5.4	12.2
12.1	11.7	5.4	12.2
12.1	11.7	5.4	12.2
12.1	11.7	2.2	12.2
12.1	11.7	4.5	12.2
12.1	11.7	4.5	12.2
12.1	11.7	4.6	12.2
12.1	11.7	4.6	12.2
12.1	12.5	4.6	12.2
12.1	12.5	4.6	12.2
12.1	12.5	4.6	12.2
12.1	12.5	4.6	12.2
12.1	12.5	4.7	12.2
12.1	12.4	4.7	12.2
12.1	13.1	4.7	12.2
12.1	13.3	4.7	12.2
12.1	13.3	4.7	12.2
12.1	13.3	4.7	12.2
12.1	13.3	4.8	12.2
12.1	13.3	4.8	12.2
12.1	13.3	4.8	12.2
12.1	13.3	4.8	12.2
12.1	13.3	4.8	12.2
12.1	13.3	4.8	12.2
12.1	13.3	4.8	12.2
12.1	13.3	4.8	12.2
12.1	13.3	4.8	12.2
12.1	13.3	4.8	12.2
12.1	13.3	4.8	12.2
12.1	13.3	4.8	12.2
12.1	13.3	4.8	12.2
12.1	13.3	4.8	12.2
12.1	13.3	4.8	12.2
12.1	13.3	4.8	12.2
12.1	13.3	4.8	12.2
12.1	13.3	4.8	12.2
12.2	13.3	4.8	12.2
12.2	13.3	4.8	12.2
12.2	13.2	4.8	12.2
12.2	12.7	4.8	12.2
12.2	12.7	4.8	12.2
12.3	12.7	4.8	12.2
12.3	12.7	4.8	12.2
12.3	12.7	4.8	12.2
12.3	12.7	4.8	12.2
12.3	12.8	4.8	12.2
13.6	12.8	4.8	12.2
13.7	12.8	4.8	12.2
13.9	12.8	4.8	12.2
13.9	12.8	4.8	12.2
13.9	12.8	4.8	12.2
13.9	12.8	4.9	12.2
13.9	12.7	4.9	12.2
13.9	12.7	4.9	12.2
13.9	12.7	4.9	12.2
13.9	12.7	4.9	12.2
13.7	12.7	4.9	12.2
13.7	12.7	4.9	12.2
13.9	12.8	4.9	12.2
14.5	12.8	4.9	12.2
16.7	12.8	4.9	12.2
16.7	12.8	4.9	12.2
12.4	12.8	4.9	12.2
12.6	12.8	4.9	12.2
12.6	12.8	4.9	12.2
12.8	12.8	4.9	12.2
12.9	12.8	4.9	12.2
12.9	12.8	5.2	12.2
12.9	12.8	5.3	12.2
12.9	12.8	5.3	12.2
12.9	12.8	5.3	12.2
12.9	12.8	5.3	12.2
12.9	12.8	5.3	12.2
12.8	5.5	5.3	12.2
12.7	6.4	5.3	12.2
12.7	8.3	5.3	12.2
13.3	11.3	5.3	12.2
13.3	11.8	5.3	12.2
13.3	12.2	5.3	12.2
6.3	12.2	5.3	12.2
8.6	12.2	5.3	12.2
9.1	12.2	5.3	12.2
10.8	12.2	5.3	12.2
11.9	12.2	5.4	12.2
11.9	12.2	5.4	12.2
12.6	12.2	5.4	12.2
12.6	12.3	5.4	12.2
12.7	12.3	5.4	12.2
12.7	12.3	5.4	12.2
12.7	12.3	5.4	12.2
12.7	12.3	5.4	12.2
12.7	12.3	5.4	12.2
12.8	12.3	5.4	12.2
12.8	12.3	5.4	12.2
12.8	12.3	5.4	12.2
12.8	12.3	5.4	12.2
12.8	12.3	5.4	12.2
12.8	12.3	1.9	12.3
12.8	12.3	4.5	12.6
12.8	12.3	4.6	12.6
12.9	12.3	4.6	12.6
12.9	12.3	4.6	12.6
12.9	12.3	4.6	12.6
12.9	11.3	4.6	12.6
12.9	11.4	4.6	12.8
11.3	11.5	4.6	12.8
11.4	11.6	4.6	12.8
11.4	11.5	4.6	12.8
11.4	11.9	4.7	12.8
11.4	11.9	4.7	12.8
11.4	11.9	4.7	12.8
11.4	11.9	4.7	12.8
11.4	11.9	4.7	12.8
11.4	11.7	4.7	12.9
11.5	11.7	4.7	12.9
11.7	11.7	4.7	12.9
11.9	11.7	4.7	12.9
12	11.7	4.7	12.9
12	11.7	4.7	12.9
12	11.7	4.7	12.9
12	11.7	4.7	12.9
12	11.7	4.7	12.9
12	11.7	4.7	12.9
12	11.7	4.7	12.9
12	11.6	4.7	12.9
12	11.6	4.7	12.9
12	11.6	4.8	11.7
12	12.4	4.8	4.6
12	12.4	4.8	7
12	12.4	4.8	11.6
12	12.2	4.8	12
12	13	4.8	12.4
12	13.2	4.8	12.6
12	12.7	4.8	12.6
12	12.7	4.8	12.6
12	12.7	4.8	11.5
12	12.7	4.8	11.6
12	12.7	4.8	11.6
12	12.7	4.8	11.7
12.4	12.7	4.8	11.5
11.9	12.7	4.8	11.5
12	12.7	4.8	11.9
12	12.7	4.8	11.9
12	12.7	4.8	11.9
12.1	12.7	4.8	12
12.1	12.7	4.8	12
12.1	12.7	4.8	12
12.1	12.7	4.9	12
12.1	12.7	4.9	12
12.2	12.7	4.9	12
12.2	12.7	4.9	12
12.2	12.7	4.9	12
12.2	12.7	4.9	12
12.2	12.7	4.9	12
12.2	12.7	4.9	12
12.2	12.5	4.9	12
12.2	12.5	5.1	12
12.2	12.5	5.2	12
12.2	12.5	5.2	12
12.2	12.5	5.2	12
12.2	12.5	5.2	12
12.2	12.8	5.2	12
12.2	12.8	5.2	12
12.2	12.8	5.2	12
12.2	12.8	5.3	12
12.2	12.8	5.3	12
12.2	12.6	5.3	12
12.2	12.7	5.3	12
12.2	12.7	5.3	12
12.2	12.7	5.4	12
12.2	12.7	5.4	12
12.2	12.7	5.4	12
12.2	12.7	5.4	12
12.2	12.7	5.4	12
12.2	12.7	5.4	12
12.2	12.7	5.4	12
12.2	12.7	5.4	12
12.2	12.8	5.4	12
12.2	12.8	5.4	12
12.2	12.8	5.4	12
12.2	12.8	5.4	12
12.2	12.8	5.4	12
12.2	12.5	5.4	12
12.2	2.3	5.4	12
12.2	5.5	4.5	12
12.2	6.7	4.6	12
12.2	9.2	4.6	12
12.2	11.5	4.6	12
